month,rep,amount
2024-08,Trustcare,14.99
2024-08,Rob,4535.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Kris,6967.5
2024-08,Trustcare,14.99
2024-08,Kelly,3180.0
2024-08,Admin,21.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Kris,3255.0
2024-08,Admin,0.01
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Gavin,9500.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Steve,5420.0
2024-08,Kris,1360.0
2024-08,Kelly,8778.5
2024-08,Steve,3100.0
2024-08,Trustcare,14.99
2024-08,CHC,585.0
2024-08,Trustcare,14.99
2024-08,Steve,2014.0
2024-08,Trustcare,14.99
2024-08,Shane,10905.0
2024-08,Commercial,4893.0
2024-08,Steve,1132.0
2024-08,Trustcare,14.99
2024-08,CHC,870.0
2024-08,Steve,6480.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Rob,1132.0
2024-08,Steve,4811.5
2024-08,CHC,544.5
2024-08,Gavin,6740.0
2024-08,Steve,4235.0
2024-08,Commercial,523.0
2024-08,Steve,3280.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Niall,3255.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Kelly,2140.0
2024-08,Gavin,2573.0
2024-08,Trustcare,14.99
2024-08,Shane,4067.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Gavin,2915.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Steve,3175.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Shane,3630.0
2024-08,Niall,2120.0
2024-08,Niall,3916.0
2024-08,Trustcare,14.99
2024-08,Office,3223.0
2024-08,Kelly,6768.5
2024-08,Niall,3550.0
2024-08,Trustcare,14.99
2024-08,Kelly,2972.0
2024-08,Steve,1432.0
2024-08,Gavin,1230.0
2024-08,Trustcare,14.99
2024-08,CHC,605.0
2024-08,Rob,1132.0
2024-09,Admin,330.0
2024-09,Gavin,8065.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Gavin,2051.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Steve,2245.0
2024-09,Kris,2210.0
2024-09,Shane,4815.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Shane,3470.0
2024-09,Steve,6875.0
2024-09,Trust Care,14.99
2024-09,Steve,4007.0
2024-09,Niall,3275.0
2024-09,Shane,2265.0
2024-09,Niall,4660.0
2024-09,Rob,2265.0
2024-09,Trust Care,14.99
2024-09,Rob,2210.0
2024-09,Commercial,5685.96
2024-09,CHC,1700.0
2024-09,Trust Care,14.99
2024-09,Rob,4335.0
2024-09,Kelly,1230.0
2024-09,Jay,3370.0
2024-09,Trust Care,14.99
2024-09,Gavin,2847.5
2024-09,Steve,7760.0
2024-09,Trust Care,14.99
2024-09,Gavin,6952.5
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Kelly,2840.0
2024-09,Traie,4235.0
2024-09,SamC,3250.0
2024-09,Kelly,5525.0
2024-09,Kris,3175.0
2024-09,CHC,605.0
2024-09,Kris,2140.0
2024-09,Kris,3555.0
2024-09,CHC,770.0
2024-09,Traie,3760.0
2024-09,Trust Care,14.99
2024-09,Niall,2548.0
2024-09,Jay,2240.0
2024-09,Steve,2140.0
2024-09,Trust Care,14.99
2024-09,Jay,3050.0
2024-09,Trust Care,14.99
2024-09,Kelly,6505.5
2024-09,Trust Care,14.99
2024-09,Rob,4675.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Steve,2847.5
2024-09,Traie,2220.0
2024-09,Rob,1185.0
2024-09,Kris,3430.0
2024-09,Shane,1840.5
2024-09,Shane,6921.0
2024-09,Gavin,2784.5
2024-09,Admin,108.33
2024-09,Trust Care,14.99
2024-09,Kelly,3587.0
2024-09,Commercial,3094.0
2024-09,Trust Care,14.99
2024-09,Shane,3475.0
2024-09,Shane,5050.0
2024-09,CHC,915.0
2024-09,Steve,4090.0
2024-09,Trust Care,14.99
2024-09,Kris,4580.67
2024-09,Trust Care,14.99
2024-09,Office,2298.0
2024-09,Gavin,5170.0
2024-09,SamC,1310.0
2024-09,Jay,1310.0
2024-09,Shane,2270.0
2024-09,Rob,2120.0
2024-09,SamC,2490.0
2024-09,Gavin,3400.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,SamC,2290.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Niall,1310.0
2024-09,CHC,665.0
2024-09,Gavin,5475.0
2024-09,Rob,2165.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,SamC,5920.0
2024-09,Trust Care,14.99
2024-09,SamC,1160.0
2024-09,Trust Care,14.99
2024-09,Gavin,1310.0
2024-09,Niall,3125.0
2024-09,SamC,1195.0
2024-09,Kris,2000.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,SamC,3312.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Rob,1110.0
2024-09,Niall,580.0
2024-09,Rob,2245.0
2024-09,Rob,1230.0
2024-09,CHC,805.0
2024-09,Niall,2290.0
2024-09,Traie,2630.0
2024-09,Trust Care,14.99
2024-09,Kelly,5325.0
2024-09,Traie,1210.0
2024-09,Kelly,5461.0
2024-09,Trust Care,14.99
2024-09,Commercial,6542.0
2024-09,Niall,3380.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,SamC,2470.0
2024-09,Kelly,1340.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Shane,2020.5
2024-09,Trust Care,14.99
2024-09,Shane,2475.0
2024-09,Rob,1230.0
2024-09,Rob,2014.0
2024-09,Rob,6600.0
2024-09,Traie,2073.5
2024-09,SamC,2345.0
2024-09,Kris,3100.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Niall,1685.0
2024-09,Trust Care,14.99
2024-09,Traie,1230.0
2024-09,Shane,5155.0
2024-09,Shane,2220.0
2024-09,Rob,2165.0
2024-09,SamC,3280.0
2024-09,Trust Care,14.99
2024-09,SamC,1132.0
2024-09,SamC,1132.0
2024-09,Gavin,1580.0
2024-09,Niall,1235.0
2024-09,Trust Care,14.99
2024-09,Office,2458.51
2024-09,Steve,3000.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Shane,2083.5
2024-09,Steve,7161.0
2024-09,Jay,2740.0
2024-09,Steve,3119.5
2024-09,Kris,9596.0
2024-09,Kris,2210.0
2024-09,Admin,21.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Gavin,4315.0
2024-09,Steve,4680.0
2024-09,Trust Care,14.99
2024-09,CHC,605.0
2024-09,Kelly,7940.0
2024-09,Steve,3505.0
2024-09,Trust Care,14.99
2024-09,Gavin,5787.0
2024-09,Rob,2033.0
2024-09,CHC,495.0
2024-09,Niall,1091.5
2024-09,Kris,1360.0
2024-09,Kris,2215.0
2024-09,Trust Care,14.99
2024-09,Rob,2140.0
2024-09,Trust Care,14.99
2024-09,Steve,1310.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Niall,2892.5
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Gavin,3816.0
2024-09,Trust Care,14.99
2024-09,CHC,670.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Jay,3355.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Shane,2345.0
2024-09,Jay,1185.0
2024-09,Rob,2210.0
2024-09,Commercial,8510.0
2024-09,Trust Care,14.99
2024-09,Kelly,1340.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Steve,3330.0
2024-09,CHC,770.0
2024-09,Rob,4882.0
2024-09,Shane,6457.5
2024-09,Kris,4830.0
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,Trust Care,14.99
2024-09,SamC,1310.0
2024-09,Rob,2420.0
2024-09,SamC,1294.0
2024-09,Trust Care,14.99
2024-09,Rob,1230.0
2024-09,Niall,3430.0
2024-09,Commercial,2288.0
2024-09,Rob,1973.5
2024-09,Commercial,635.0
2024-09,Gavin,2870.0
2024-09,Kris,2576.0
2024-09,Shane,4505.0
2024-09,Trust Care,14.99
2024-09,Rob,4020.0
2024-09,Trust Care,14.99
2024-09,Kris,4924.0
2024-09,SamC,2195.5
2024-09,Rob,1231.0
2024-09,Trust Care,14.99
2024-10,Gavin,4185.0
2024-10,Trust Care,14.99
2024-10,Shane,5100.0
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Gavin,6075.0
2024-10,Kelly,1400.0
2024-10,Trust Care,14.99
2024-10,Gavin,2086.0
2024-10,Niall,9859.42
2024-10,Trust Care,14.99
2024-10,Kelly,1060.0
2024-10,Trust Care,14.99
2024-10,CHC,1241.66
2024-10,Trust Care,14.99
2024-10,Kelly,1210.0
2024-10,Trust Care,14.99
2024-10,Steve,9951.0
2024-10,Admin,83.33
2024-10,Niall,4798.0
2024-10,Trust Care,14.99
2024-10,Rob,2073.5
2024-10,Trust Care,14.99
2024-10,SamC,2165.0
2024-10,Trust Care,14.99
2024-10,Rob,1204.0
2024-10,Niall,9580.0
2024-10,Niall,2220.0
2024-10,Trust Care,14.99
2024-10,Lucy,180.0
2024-10,Trust Care,14.99
2024-10,Jay,3964.5
2024-10,Shane,3767.0
2024-10,Rob,3420.0
2024-10,Steve,2955.5
2024-10,SamC,2120.0
2024-10,Rob,3195.0
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Admin,8.0
2024-10,Gavin,0.0
2024-10,Steve,4230.0
2024-10,SamC,4515.0
2024-10,Trust Care,14.99
2024-10,Shane,6100.0
2024-10,Trust Care,14.99
2024-10,Kelly,1230.0
2024-10,Trust Care,14.99
2024-10,Gavin,5900.0
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Kelly,3155.0
2024-10,SamC,3079.5
2024-10,Niall,7465.0
2024-10,Rob,1335.0
2024-10,Trust Care,14.99
2024-10,Gavin,9873.4
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Louis,3367.75
2024-10,Jay,2907.0
2024-10,CHC,558.33
2024-10,Kelly,3042.5
2024-10,CHC,1109.18
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Louis,1236.0
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,SamC,3325.0
2024-10,Kris,3325.0
2024-10,Trust Care,14.99
2024-10,Steve,2888.0
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Gavin,2996.0
2024-10,Steve,5490.0
2024-10,Trust Care,14.99
2024-10,Gavin,4847.5
2024-10,Kris,2925.0
2024-10,CHC,705.84
2024-10,Kelly,2086.0
2024-10,Kris,2320.0
2024-10,Kelly,1340.0
2024-10,CHC,558.33
2024-10,Jay,6831.0
2024-10,Shane,5418.0
2024-10,Gavin,5066.0
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Kris,4335.0
2024-10,SamC,1110.0
2024-10,Kris,1230.0
2024-10,Trust Care,14.99
2024-10,Niall,2265.0
2024-10,Trust Care,14.99
2024-10,Admin,33.33
2024-10,Rob,2414.0
2024-10,SamC,6835.0
2024-10,Trust Care,14.99
2024-10,SamC,1091.5
2024-10,Jay,3946.5
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Jay,6040.0
2024-10,Rob,3797.0
2024-10,CHC,641.67
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Admin,100.0
2024-10,Trust Care,14.99
2024-10,SamC,3900.0
2024-10,Gavin,1182.0
2024-10,Steve,5882.0
2024-10,Kelly,2420.0
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Kris,2270.0
2024-10,Trust Care,14.99
2024-10,Niall,6410.0
2024-10,Jay,2120.0
2024-10,Gavin,4990.0
2024-10,Gavin,3255.0
2024-10,CHC,587.5
2024-10,Niall,6255.0
2024-10,CHC,495.83
2024-10,Steve,2345.0
2024-10,Trust Care,14.99
2024-10,Niall,1360.0
2024-10,Kelly,3175.0
2024-10,Admin,100.0
2024-10,Kim,6049.13
2024-10,Kris,2210.0
2024-10,Gavin,5212.0
2024-10,Trust Care,14.99
2024-10,Jay,4510.0
2024-10,Trust Care,14.99
2024-10,Rob,2165.0
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Kris,3861.0
2024-10,Kelly,1284.0
2024-10,Traie,1066.5
2024-10,Admin,20.76
2024-10,Trust Care,14.99
2024-10,Jay,2240.0
2024-10,Admin,18.0
2024-10,Niall,5375.0
2024-10,Kelly,1230.0
2024-10,SamC,4210.0
2024-10,Louis,7907.68
2024-10,Jay,4070.0
2024-10,Office,575.18
2024-10,Trust Care,14.99
2024-10,Rob,1185.0
2024-10,Trust Care,14.99
2024-10,Jay,3654.0
2024-10,CHC,544.5
2024-10,CHC,725.0
2024-10,Kelly,2598.0
2024-10,Jay,2415.0
2024-10,Rob,6336.48
2024-10,Niall,1435.0
2024-10,Kris,3030.0
2024-10,Rob,3565.0
2024-10,Trust Care,14.99
2024-10,SamC,4415.0
2024-10,CHC,504.17
2024-10,Trust Care,14.99
2024-10,Shane,5980.0
2024-10,Trust Care,14.99
2024-10,Kris,3415.5
2024-10,Jay,4765.0
2024-10,SamC,3405.0
2024-10,Kelly,2817.0
2024-10,Kris,3290.0
2024-10,Office,250.0
2024-10,Trust Care,14.99
2024-10,Niall,5508.0
2024-10,Trust Care,14.99
2024-10,Steve,1426.0
2024-10,Trust Care,14.99
2024-10,Rob,6320.0
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,CHC,1108.33
2024-10,Niall,5805.0
2024-10,Kris,2874.5
2024-10,CHC,751.31
2024-10,Rob,1735.0
2024-10,Niall,6355.0
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,CHC,504.17
2024-10,Rob,4202.0
2024-10,Trust Care,14.99
2024-10,Admin,116.67
2024-10,Steve,2245.0
2024-10,Shane,1773.0
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Kris,3097.5
2024-10,Shane,2820.0
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Shane,1460.0
2024-10,SamC,2154.0
2024-10,Niall,3280.0
2024-10,SamC,2045.0
2024-10,Kris,5601.33
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Niall,2390.0
2024-10,Trust Care,14.99
2024-10,Steve,4340.0
2024-10,Jay,1460.0
2024-10,Steve,5195.0
2024-10,Trust Care,14.99
2024-10,Trust Care,14.99
2024-10,Shane,5408.0
2024-10,Trust Care,14.99
2024-10,Rob,1230.0
2024-10,Office,1687.0
2024-10,Kris,3275.0
2024-10,Trust Care,14.99
2024-10,Kelly,2445.0
2024-10,Traie,2570.0
2024-10,Rob,3320.0
2024-10,Steve,2390.0
2024-10,Trust Care,14.99
2024-10,CHC,1058.34
2024-10,Trust Care,14.99
2024-10,Kris,2320.0
2024-10,Steve,1280.0
2024-10,Niall,2560.0
2024-10,Jay,4982.0
2024-10,Niall,5702.0
2024-10,Gavin,1764.01
2024-10,Trust Care,14.99
2024-10,Kelly,2270.0
2024-11,Steve,1330.0
2024-11,Jay,2687.5
2024-11,CHC,570.83
2024-11,SamC,4560.0
2024-11,Gavin,4266.0
2024-11,Gavin,2051.0
2024-11,CHC,1525.0
2024-11,Kelly,1204.0
2024-11,Office,1038.99
2024-11,Shane,4443.0
2024-11,Commercial,9811.17
2024-11,Rob,2112.0
2024-11,Niall,2645.0
2024-11,Shane,1319.34
2024-11,Traie,4280.0
2024-11,Kris,3875.0
2024-11,Traie,4648.5
2024-11,Rob,2220.0
2024-11,Kris,4415.0
2024-11,Kelly,7443.0
2024-11,CHC,641.67
2024-11,Shane,2880.0
2024-11,CHC,554.17
2024-11,Steve,3883.5
2024-11,Kris,3355.0
2024-11,Niall,3371.0
2024-11,Lucy,2760.0
2024-11,SamC,2795.0
2024-11,SamC,4080.0
2024-11,SamC,2315.0
2024-11,Gavin,1308.4
2024-11,Jay,3592.0
2024-11,Gavin,2469.0
2024-11,Shane,4380.0
2024-11,Kelly,2946.0
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,19.85
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,Admin,100.0
2024-11,Admin,25.0
2024-11,TrustCare,14.99
2024-11,Admin,50.0
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,Rob,2810.2
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,32.98
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,TrustCare,14.99
2024-11,Kris,3205.0
2024-11,Louis,3084.5
2024-11,Rob,2140.0
2024-11,CHC,1241.66
2024-11,Kris,1210.0
2024-11,Traie,2320.0
2024-11,Traie,2190.0
2024-11,Office,1249.99
2024-11,Rob,2878.75
2024-11,CHC,609.59
2024-11,Niall,8098.75
2024-11,Gavin,4223.5
2024-11,Kelly,2717.0
2024-11,Shane,1152.0
2024-11,Jay,4927.75
2024-11,Kelly,2500.0
2024-11,SamC,3211.5
2024-11,Kris,7330.0
2024-11,Gavin,3280.5
2024-11,Traie,948.0
2024-11,Niall,1098.83
2024-11,Steve,2145.0
2024-11,CHC,1241.66
2024-11,Steve,1374.0
2024-11,SamC,3370.0
2024-11,Kim,618.0
2024-11,CHC,641.67
2024-11,Jay,4921.0
2024-11,Steve,2997.5
2024-11,Niall,6550.0
2024-11,Shane,4415.0
2024-11,Kelly,4066.0
2024-11,Gavin,5096.0
2024-11,Niall,4492.75
2024-11,Traie,2168.0
2024-11,Kris,1230.0
2024-11,CHC,1058.34
2024-11,CHC,554.17
2024-11,Gavin,3062.5
2024-11,Kris,1083.0
2024-11,Traie,1132.0
2024-11,CHC,620.83
2024-11,Jay,3509.0
2024-11,Kelly,3790.0
2024-11,Admin,83.33
2024-11,Admin,50.0
2024-11,TrustCare,21.0
2024-11,CHC,453.75
2024-11,Jay,2825.0
2024-11,CHC,1008.33
2024-11,Rob,2596.0
2024-11,Shane,11505.5
2024-11,Rob,6317.25
2024-11,Office,3195.75
2024-11,Kris,4587.5
2024-11,Shane,5676.5
2024-11,Rob,1176.0
2024-11,Kelly,5377.5
2024-11,Rob,2725.0
2024-11,CHC,620.83
2024-11,Steve,1724.0
2024-11,SamC,5714.0
2024-11,Jay,3832.0
2024-11,Steve,1946.0
2024-11,SamC,3325.0
2024-11,Niall,3330.0
2024-11,Jay,7765.0
2024-11,SamC,4562.0
2024-11,Niall,9535.0
2024-11,Shane,1948.5
2024-11,Jay,2440.0
2024-11,Niall,1926.0
2024-11,Niall,2345.0
2024-11,Kelly,5265.0
2024-11,Gavin,2955.5
2024-11,Rob,4375.0
2024-11,Traie,3027.5
2024-11,Jay,2171.93
2024-11,Jay,2554.0
2024-11,Rob,2009.56
2024-11,Rob,3603.5
2024-11,Gavin,3105.5
2024-11,Gavin,4485.0
2024-11,Jay,2880.0
2024-11,Kelly,2550.0
2024-11,Jay,5470.0
2024-11,Kelly,4126.0
2024-11,Steve,4671.0
2024-11,Traie,3858.5
2024-11,Admin,60.0
2024-11,Admin,66.67
2024-11,Made Smarter,5250.0
2024-11,TrustCare,14.99
2024-11,Admin,50.0
2024-11,Lucy,104.17
2024-11,CHC,783.33
2024-11,Niall,6174.0
2024-11,Kris,6175.0
2024-11,Steve,1133.0
2024-11,Rob,4009.5
2024-11,Office,2046.0
2024-11,Jay,1374.0
2024-11,Kris,1133.0
2024-11,Jay,1132.0
2024-11,Office,1036.67
2024-11,Shane,2307.0
2024-11,Gavin,4676.75
2024-11,Kelly,2606.0
2024-11,SamC,7825.5
2024-11,Gavin,3829.5
2024-11,Gavin,4698.25
2024-11,Rob,3586.0
2024-11,Gavin,1203.7
2024-11,Shane,2014.0
2024-11,CHC,1125.0
2024-11,Kris,2270.0
2024-11,Jay,2991.0
2024-11,CHC,725.0
2024-11,CHC,630.0
2024-11,Kris,1203.0
2024-11,SamC,5463.0
2024-11,Kelly,6995.0
2024-11,Kris,3782.25
2024-11,Gavin,5172.5
2024-11,Traie,2846.0
2024-11,CHC,870.0
2024-11,CHC,675.0
2024-11,Gavin,1176.0
2024-11,Gavin,6423.75
2024-11,Rob,1133.0
2024-11,Kelly,5831.0
2024-11,Kris,3025.5
2024-11,Shane,0.0
2024-11,Traie,2888.0
2024-11,Rob,5733.25
2024-11,SamC,5694.5
2024-11,Kelly,1933.0
2024-11,Steve,1762.0
2024-11,Niall,5268.3
2024-11,Kris,1123.0
2024-11,Rob,3658.0
2024-11,Rob,1034.0
2024-11,Kris,5689.0
2024-11,Gavin,2962.5
2024-11,Shane,4950.0
2024-11,Jay,2739.89
2024-11,Shane,2917.0
2024-11,Kris,2206.67
2024-12,TrustCare,14.99
2024-12,TrustCare,14.99
2024-12,TrustCare,14.99
2024-12,TrustCare,14.99
2024-12,TrustCare,14.99
2024-12,TrustCare,14.99
2024-12,TrustCare,14.99
2024-12,TrustCare,14.99
2024-12,TrustCare,14.99
2024-12,Jay,2365.0
2024-12,Steve,2308.0
2024-12,TrustCare,14.99
2024-12,TrustCare,14.99
2024-12,Gavin,3799.0
2024-12,Shane,5150.0
2024-12,TrustCare,14.99
2024-12,SamC,6975.0
2024-12,Admin,130.0
2024-12,TrustCare,14.99
2024-12,Admin,66.67
2024-12,TrustCare,14.99
2024-12,TrustCare,14.99
2024-12,Niall,4265.0
2024-12,TrustCare,14.99
