dataset,table,rows,mb,last_modified,date_min,date_max
silver,silver_wildix_calls,149092,83.5,2026-07-16 10:52:52,,
silver,silver_wildix_colleagues,14,0.0,2026-07-16 10:52:50,,
gold,gold_agent_performance_daily,6899,1.0,2026-07-16 10:52:55,,
gold,gold_campaign_attribution,3678,0.2,2026-07-16 10:20:29,,
gold,gold_google_ads_spend_by_region,6226,0.4,2026-07-16 10:09:27,,
gold,gold_lead_activity,58704,14.9,2026-07-16 10:52:56,,
gold,gold_lead_calls,117230,35.9,2026-07-16 10:51:12,,
gold,gold_leads_by_region,26551,2.0,2026-07-16 10:09:38,,
gold,gold_pipeline_opportunities,6359,1.5,2026-07-16 10:20:19,,
gold,gold_sales_exceptions,0,0.0,2026-07-16 10:20:27,,
gold,gold_sales_orders,3381,0.8,2026-07-16 10:09:36,,
gold,gold_sales_reconciled,2385,0.2,2026-07-16 10:20:19,,
app,bookings,112,0.0,2026-07-16 09:05:34,,
app,reps,17,0.0,2026-07-16 08:51:23,,
app,users,8,0.0,2026-06-30 10:28:34,,
cms_ingestion,form_15_church_guide_download_form,1,0.0,2026-06-24 12:04:39,,
cms_ingestion,form_19_zebra_guide_download_form,3,0.0,2026-07-08 15:39:45,,
cms_ingestion,form_1_byc_form,66,0.0,2026-07-15 07:03:48,,
cms_ingestion,form_22_trustcare_package_form,7,0.0,2026-07-15 12:34:53,,
cms_ingestion,form_32_wc26_byc_form,19,0.0,2026-07-14 23:56:06,,
cms_ingestion,form_6_landing_form_four,1,0.0,2026-06-16 17:11:55,,
cms_ingestion,form_9_guide_download_form,59,0.0,2026-07-08 10:46:32,,
shared_marketing,bing_adsaccount_performance_report_daily,0,0.0,2026-07-15 08:58:52,,
shared_marketing,bing_adsaccounts,0,0.0,2026-07-15 08:59:02,,
shared_marketing,bing_adsad_group_labels,0,0.0,2026-07-15 08:59:13,,
shared_marketing,bing_adsad_group_performance_report_daily,0,0.0,2026-07-15 08:59:23,,
shared_marketing,bing_adsad_groups,0,0.0,2026-07-15 08:59:33,,
shared_marketing,bing_adsad_performance_report_daily,0,0.0,2026-07-15 08:59:43,,
shared_marketing,bing_adsads,0,0.0,2026-07-15 08:59:53,,
shared_marketing,bing_adscampaign_labels,0,0.0,2026-07-15 09:00:03,,
shared_marketing,bing_adscampaign_performance_report_daily,0,0.0,2026-07-15 09:00:13,,
shared_marketing,bing_adscampaigns,0,0.0,2026-07-15 09:00:23,,
shared_marketing,bing_adskeyword_labels,0,0.0,2026-07-15 09:00:33,,
shared_marketing,bing_adskeyword_performance_report_daily,0,0.0,2026-07-15 09:00:43,,
shared_marketing,bing_adskeywords,0,0.0,2026-07-15 09:00:53,,
shared_marketing,google_ads_api_campaign_daily,0,0.0,2026-07-15 08:58:11,,
shared_marketing,google_ads_api_geo_target_constants,0,0.0,2026-07-15 08:58:22,,
shared_marketing,leads_per_day,0,0.0,2026-07-15 09:03:12,,
shared_marketing,meta_api_campaign_daily,0,0.0,2026-07-15 08:58:32,,
shared_marketing,meta_api_geographic_daily,0,0.0,2026-07-15 08:58:42,,
shared_marketing,sharpspring_campaigns,0,0.0,2026-07-15 09:01:03,,
shared_marketing,sharpspring_leads,0,0.0,2026-07-15 09:03:02,,
shared_marketing,spend_per_day,0,0.0,2026-07-15 09:03:22,,
bronze_staging,_dlt_version,17,0.3,2026-07-13 08:45:39,,
bronze_staging,ascend_calls,127,0.0,2026-07-16 10:52:14,,
bronze_staging,ga4_api_demographics_daily,64,0.0,2026-07-16 09:00:38,,
bronze_staging,ga4_api_events_daily,2218,0.2,2026-07-16 09:00:38,,
bronze_staging,ga4_api_geographic_daily,3271,0.3,2026-07-16 09:00:38,,
bronze_staging,ga4_api_landing_pages_daily,4036,1.0,2026-07-16 09:00:39,,
bronze_staging,ga4_api_pages_daily,323,0.0,2026-07-16 09:00:38,,
bronze_staging,ga4_api_sessions_daily,418,0.1,2026-07-16 09:00:38,,
bronze_staging,ga4_api_temporal_daily,403,0.0,2026-07-16 09:00:38,,
bronze_staging,google_ads_api_campaign_daily,357,0.1,2026-07-16 09:00:27,,
bronze_staging,meta_api_campaign_daily,73,0.0,2026-07-16 09:00:28,,
bronze_staging,meta_api_geographic_daily,131,0.0,2026-07-16 09:00:27,,
bronze_staging,sharpspring_leads,58705,56.2,2026-07-16 10:19:47,,
bronze_staging,sharpspring_notes,32219,10.0,2026-07-16 04:49:32,,
bronze_staging,unleashed_customers,18,0.0,2026-07-16 06:01:41,,
bronze_staging,unleashed_customers__addresses,38,0.0,2026-07-16 06:01:41,,
bronze_staging,unleashed_products,52,0.0,2026-07-16 06:01:41,,
bronze_staging,unleashed_products__images,6,0.0,2026-07-16 06:01:41,,
bronze_staging,unleashed_products__inventory_details,104,0.0,2026-07-16 06:01:41,,
bronze_staging,unleashed_purchase_orders,15,0.0,2026-07-16 06:01:41,,
bronze_staging,unleashed_purchase_orders__purchase_order_lines,122,0.1,2026-07-16 06:01:41,,
bronze_staging,unleashed_sales_orders,55,0.1,2026-07-16 06:01:41,,
bronze_staging,unleashed_sales_orders__sales_order_lines,274,0.1,2026-07-16 06:01:41,,
bronze_staging,wildix_calls,1,0.0,2026-07-10 14:47:24,,
