month,platform,spend,clicks,leads,appts,sold,revenue,cpc,cpl,cpa,cps,roas
2025-04,Meta,26764.0,57989,709,93,21,53107.0,0.46,38.0,288.0,1274.0,1.98
2025-04,Organic/Other,,,43,5,0,,,,,,
2025-05,Bing,2180.0,1240,47,10,3,8687.0,1.76,46.0,218.0,727.0,3.98
2025-05,Google,46759.0,66961,735,143,30,121461.0,0.7,64.0,327.0,1559.0,2.6
2025-05,Meta,25775.0,52415,1015,107,25,84241.0,0.49,25.0,241.0,1031.0,3.27
2025-05,Organic/Other,,,14,5,2,5795.0,,,,,
2025-06,Bing,1482.0,1072,33,14,5,15613.0,1.38,45.0,106.0,296.0,10.54
2025-06,Google,45204.0,72139,743,145,38,163305.0,0.63,61.0,312.0,1190.0,3.61
2025-06,Meta,29411.0,57107,1219,123,29,82646.0,0.52,24.0,239.0,1014.0,2.81
2025-06,Organic/Other,,,28,3,1,15092.0,,,,,
2025-07,Bing,2977.0,1636,29,7,1,3044.0,1.82,103.0,425.0,2977.0,1.02
2025-07,Google,35484.0,58417,527,128,43,130751.0,0.61,67.0,277.0,825.0,3.68
2025-07,Meta,22368.0,39742,542,106,13,47324.0,0.56,41.0,211.0,1721.0,2.12
2025-07,Organic/Other,,,17,1,0,,,,,,
2025-08,Bing,2450.0,2305,26,7,4,15192.0,1.06,94.0,350.0,613.0,6.2
2025-08,Google,31342.0,46541,548,135,48,151794.0,0.67,57.0,232.0,653.0,4.84
2025-08,Meta,18743.0,37199,351,82,23,81564.0,0.5,53.0,229.0,815.0,4.35
2025-08,Organic/Other,,,9,2,3,23760.0,,,,,
2025-09,Bing,6400.0,5948,74,23,14,42073.0,1.08,86.0,278.0,457.0,6.57
2025-09,Google,41797.0,61320,872,207,65,170354.0,0.68,48.0,202.0,643.0,4.08
2025-09,Meta,20899.0,65043,712,111,29,77317.0,0.32,29.0,188.0,721.0,3.7
2025-09,Organic/Other,,,38,15,7,20633.0,,,,,
2025-10,Bing,5800.0,5237,66,15,7,16420.0,1.11,88.0,387.0,829.0,2.83
2025-10,Google,55867.0,57719,836,214,64,200479.0,0.97,67.0,261.0,873.0,3.59
2025-10,Meta,22696.0,54068,890,122,27,85654.0,0.42,26.0,186.0,841.0,3.77
2025-10,Organic/Other,,,21,8,2,7769.0,,,,,
2025-11,Bing,3453.0,3548,62,23,8,25441.0,0.97,56.0,150.0,432.0,7.37
2025-11,Google,51840.0,47451,913,217,75,226954.0,1.09,57.0,239.0,691.0,4.38
2025-11,Meta,23142.0,69242,841,141,35,123742.0,0.33,28.0,164.0,661.0,5.35
2025-11,Organic/Other,,,30,9,3,5849.0,,,,,
2025-12,Bing,4607.0,4557,62,8,4,7105.0,1.01,74.0,576.0,1152.0,1.54
2025-12,Google,40077.0,36098,653,135,43,168394.0,1.11,61.0,297.0,932.0,4.2
2025-12,Meta,12433.0,43351,486,74,10,36122.0,0.29,26.0,168.0,1243.0,2.91
2025-12,Organic/Other,,,17,7,2,6904.0,,,,,
2026-01,Bing,5591.0,5576,113,26,6,24057.0,1.0,49.0,215.0,932.0,4.3
2026-01,Google,69572.0,78679,1123,272,75,234851.0,0.88,62.0,256.0,928.0,3.38
2026-01,Meta,13650.0,64414,894,103,28,112207.0,0.21,15.0,133.0,488.0,8.22
2026-01,Organic/Other,,,48,11,4,14308.0,,,,,
2026-02,Bing,4067.0,3546,56,15,8,30179.0,1.15,73.0,271.0,508.0,7.42
2026-02,Google,62124.0,54149,841,220,65,223570.0,1.15,74.0,282.0,956.0,3.6
2026-02,Meta,12877.0,39480,583,86,15,48379.0,0.33,22.0,150.0,858.0,3.76
2026-02,Organic/Other,,,46,16,7,10167.0,,,,,
2026-03,Bing,4449.0,3978,48,12,5,14893.0,1.12,93.0,371.0,890.0,3.35
2026-03,Google,70707.0,83997,571,163,28,110630.0,0.84,124.0,434.0,2525.0,1.56
2026-03,Meta,17232.0,36589,447,86,15,62968.0,0.47,39.0,200.0,1149.0,3.65
2026-03,Organic/Other,,,34,14,6,12009.0,,,,,
2026-04,Bing,3315.0,2929,49,22,10,35507.0,1.13,68.0,151.0,332.0,10.71
2026-04,Google,66407.0,74990,534,177,49,178979.0,0.89,124.0,375.0,1355.0,2.7
2026-04,Meta,20705.0,41491,464,82,21,59172.0,0.5,45.0,253.0,986.0,2.86
2026-04,Organic/Other,,,73,14,1,1268.0,,,,,
2026-05,Bing,13652.0,9583,31,11,2,4926.0,1.42,440.0,1241.0,6826.0,0.36
2026-05,Google,46984.0,43425,428,146,35,142392.0,1.08,110.0,322.0,1342.0,3.03
2026-05,Meta,12179.0,30683,419,72,11,35955.0,0.4,29.0,169.0,1107.0,2.95
2026-05,Organic/Other,,,11,3,1,2586.0,,,,,
2026-06,Bing,3804.0,2484,48,11,3,14145.0,1.53,79.0,346.0,1268.0,3.72
2026-06,Google,43378.0,36886,406,129,22,96569.0,1.18,107.0,336.0,1972.0,2.23
2026-06,Meta,16339.0,42111,383,63,13,45222.0,0.39,43.0,259.0,1257.0,2.77
2026-06,Organic/Other,,,59,8,2,6036.0,,,,,
2026-07,Bing,2071.0,1257,19,5,0,,1.65,109.0,414.0,,
2026-07,Google,20335.0,18774,175,59,6,26880.0,1.08,116.0,345.0,3389.0,1.32
2026-07,Meta,9736.0,19376,180,38,0,,0.5,54.0,256.0,,
2026-07,Organic/Other,,,16,2,0,,,,,,
